"Title","Description","RDataPath","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","Tags","ResourceName"
"CAL_SumExp","SummarizedExperiment object containing  breast cancer patients from the University of California, San Francisco and the California Pacific Medical Center (United States)","MetaGxBreast/summarizedExperiments/v1/CAL.rda","3.8","Affymetrix HGU","RData","http://www.ebi.ac.uk/arrayexpress/experiments/E-TABM-158/","Feb 02 2018","Homo sapiens",9606,FALSE,"Array Express","Michael Zon <michaelzon7@gmail.com>","SummarizedExperiment","Rda","breast cancer expression","CAL.rda"
"DFHCC_SumExp","SummarizedExperiment object containing  breast cancer patients from Dana-Farber Harvard Cancer Center (United States)","MetaGxBreast/summarizedExperiments/v1/DFHCC.rda","3.8","Affymetrix HGU GPL570","RData","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE19615","Feb 02 2018","Homo sapiens",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","SummarizedExperiment","Rda","breast cancer expression","DFHCC.rda"
"DFHCC2_SumExp","SummarizedExperiment object containing  breast cancer patients from Dana-Farber Harvard Cancer Center (United States)","MetaGxBreast/summarizedExperiments/v1/DFHCC2.rda","3.8","Affymetrix HGU GPL570","RData","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18864","Feb 02 2018","Homo sapiens",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","SummarizedExperiment","Rda","breast cancer expression","DFHCC2.rda"
"DFHCC3_SumExp","SummarizedExperiment object containing  breast cancer patients from Dana-Farber Harvard Cancer Center (United States)","MetaGxBreast/summarizedExperiments/v1/DFHCC3.rda","3.8","Affymetrix HGU GPL570","RData","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE3744","Feb 02 2018","Homo sapiens",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","SummarizedExperiment","Rda","breast cancer expression","DFHCC3.rda"
"DUKE_SumExp","SummarizedExperiment object containing  breast cancer patients from Duke university hospital (United States)","MetaGxBreast/summarizedExperiments/v1/DUKE.rda","3.8","Affymetrix HGU95 GPL8300","RData","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse3143","Feb 02 2018","Homo sapiens",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","SummarizedExperiment","Rda","breast cancer expression","DUKE.rda"
"DUKE2_SumExp","SummarizedExperiment object containing  breast cancer patients from Duke university hospital (United States)","MetaGxBreast/summarizedExperiments/v1/DUKE2.rda","3.8","Affymetrix X3P GPL1352","RData","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse6861","Feb 02 2018","Homo sapiens",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","SummarizedExperiment","Rda","breast cancer expression","DUKE2.rda"
"EMC2_SumExp","SummarizedExperiment object containing  breast cancer patients from Erasmus Medical Center (The Netherlands)","MetaGxBreast/summarizedExperiments/v1/EMC2.rda","3.8","Affymetrix HGU GPL570","RData","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse12276","Feb 02 2018","Homo sapiens",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","SummarizedExperiment","Rda","breast cancer expression","EMC2.rda"
"EORTC10994_SumExp","SummarizedExperiment object containing  breast cancer patients from Trial number 10994 from the European Organization for Research and Treatment of Cancer Breast Cancer (Europe)","MetaGxBreast/summarizedExperiments/v1/EORTC10994.rda","3.8","Affymetrix HGU GPL96","RData","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE1561","Feb 02 2018","Homo sapiens",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","SummarizedExperiment","Rda","breast cancer expression","EORTC10994.rda"
"EXPO_SumExp","SummarizedExperiment object containing  breast cancer patients from Expression project for oncology, large  microarray data published by the International Genomics Consortium","MetaGxBreast/summarizedExperiments/v1/EXPO.rda","3.8","Affymetrix HGU GPL570","RData","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE2109","Feb 02 2018","Homo sapiens",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","SummarizedExperiment","Rda","breast cancer expression","EXPO.rda"
"FNCLCC_SumExp","SummarizedExperiment object containing  breast cancer patients from F_d_ration Nationale des Centres de Lutte contre le Cancer (France)","MetaGxBreast/summarizedExperiments/v1/FNCLCC.rda","3.8","In-house cDNA GPL4819","RData","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE7017","Feb 02 2018","Homo sapiens",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","SummarizedExperiment","Rda","breast cancer expression","FNCLCC.rda"
"GSE25066_SumExp","SummarizedExperiment object containing  breast cancer patients from Nuvera Biosciences","MetaGxBreast/summarizedExperiments/v1/GSE25066.rda","3.8","Affymetrix HGU GPL96","RData","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE25066","Feb 02 2018","Homo sapiens",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","SummarizedExperiment","Rda","breast cancer expression","GSE25066.rda"
"GSE32646_SumExp","SummarizedExperiment object containing  breast cancer patients from Osaka University","MetaGxBreast/summarizedExperiments/v1/GSE32646.rda","3.8","Affymetrix HGU GPL570","RData","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE32646","Feb 02 2018","Homo sapiens",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","SummarizedExperiment","Rda","breast cancer expression","GSE32646.rda"
"GSE48091_SumExp","SummarizedExperiment object containing  breast cancer patients from Karolinska Institutet","MetaGxBreast/summarizedExperiments/v1/GSE48091.rda","3.8","Affymetrix RSTA GPL10379","RData","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48091","Feb 02 2018","Homo sapiens",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","SummarizedExperiment","Rda","breast cancer expression","GSE48091.rda"
"GSE58644_SumExp","SummarizedExperiment object containing  breast cancer patients from McGill University","MetaGxBreast/summarizedExperiments/v1/GSE58644.rda","3.8","Affymetrix Gene1.0ST GPL6244","RData","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE58644","Feb 02 2018","Homo sapiens",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","SummarizedExperiment","Rda","breast cancer expression","GSE58644.rda"
"HLP_SumExp","SummarizedExperiment object containing  breast cancer patients from University Hospital La Paz (Spain)","MetaGxBreast/summarizedExperiments/v1/HLP.rda","3.8","Illumina","RData","http://www.ebi.ac.uk/arrayexpress/experiments/E-TABM-543/","Feb 02 2018","Homo sapiens",9606,FALSE,"Array Express","Michael Zon <michaelzon7@gmail.com>","SummarizedExperiment","Rda","breast cancer expression","HLP.rda"
